#iPhone|Phone|iPhone|iPhone
#iPad|Tablet|iPad|iPad
#iPod|Phone|iPod|iPod
#iPod touch|Phone|iPod touch|iPod touch

# Based on:
# https://support.hockeyapp.net/kb/client-integration-ios-mac-os-x-tvos/ios-device-types
# https://www.theiphonewiki.com/wiki/Models
# https://gist.github.com/adamawolf/3048717

# DEVICE TYPE PRODUCT NAME
iPad7,4|Tablet|iPad|iPad Pro (10.5 inch, A1709)
iPad7,5|Tablet|iPad|iPad (6th gen, A1893)
iPad7,6|Tablet|iPad|iPad (6th gen, A1954)
iPad7,11|Tablet|iPad|iPad (7th gen, 10.2-inch, WiFi)
iPad7,12|Tablet|iPad|iPad (7th gen, 10.2-inch, WiFi+Cellular)

iPad8,1|Tablet|iPad|iPad Pro (11 inch)
iPad8,2|Tablet|iPad|iPad Pro (11 inch)
iPad8,3|Tablet|iPad|iPad Pro (11 inch)
iPad8,4|Tablet|iPad|iPad Pro (11 inch)
iPad8,5|Tablet|iPad|iPad Pro (3rd gen, 12.9 inch)
iPad8,6|Tablet|iPad|iPad Pro (3rd gen, 12.9 inch)
iPad8,7|Tablet|iPad|iPad Pro (3rd gen, 12.9 inch)
iPad8,8|Tablet|iPad|iPad Pro (3rd gen, 12.9 inch)
iPad8,9|Tablet|iPad|iPad Pro 11 inch 4th Gen (WiFi)
iPad8,10|Tablet|iPad|iPad Pro 11 inch 4th Gen (WiFi+Cellular)
iPad8,11|Tablet|iPad|iPad Pro 12.9 inch 4th Gen (WiFi)
iPad8,12|Tablet|iPad|iPad Pro 12.9 inch 4th Gen (WiFi+Cellular)

iPad11,1|Tablet|iPad|iPad Mini 5
iPad11,2|Tablet|iPad|iPad Mini 5
iPad11,3|Tablet|iPad|iPad Air (3rd gen)
iPad11,4|Tablet|iPad|iPad Air (3rd gen)
iPad11,6|Tablet|iPad|iPad 8th Gen (WiFi)
iPad11,7|Tablet|iPad|iPad 8th Gen (WiFi+Cellular)

iPad12,1|Tablet|iPad|iPad 9th Gen (WiFi)
iPad12,2|Tablet|iPad|iPad 9th Gen (WiFi+Cellular)

iPad13,1|Tablet|iPad|iPad air 4th Gen (WiFi)
iPad13,2|Tablet|iPad|iPad air 4th Gen (WiFi+Cellular)

iPad13,4|Tablet|iPad|iPad Pro 11 inch 5th Gen
iPad13,5|Tablet|iPad|iPad Pro 11 inch 5th Gen
iPad13,6|Tablet|iPad|iPad Pro 11 inch 5th Gen
iPad13,7|Tablet|iPad|iPad Pro 11 inch 5th Gen
iPad13,8|Tablet|iPad|iPad Pro 12.9 inch 5th Gen
iPad13,9|Tablet|iPad|iPad Pro 12.9 inch 5th Gen

iPad14,1|Tablet|iPad|iPad mini 6th Gen (WiFi)
iPad14,2|Tablet|iPad|iPad mini 6th Gen (WiFi+Cellular)

iPod1,1|Phone|iPod touch|iPod touch
iPod2,1|Phone|iPod touch|iPod touch (2nd gen)
